bin_index,bin_from,bin_to,interpolation,interval_type,type
210,0,0.05,0.0001,1201,PGA
211,0.05,0.1,0.075,1201,PGA
212,0.1,0.15,0.125,1201,PGA
213,0.15,0.2,0.175,1201,PGA
214,0.2,0.25,0.225,1201,PGA
215,0.25,0.3,0.275,1201,PGA
216,0.3,0.35,0.325,1201,PGA
217,0.35,0.4,0.375,1201,PGA
218,0.4,0.45,0.425,1201,PGA
219,0.45,0.5,0.475,1201,PGA
220,0.5,0.55,0.525,1201,PGA
221,0.55,0.6,0.575,1201,PGA
222,0.6,0.65,0.625,1201,PGA
223,0.65,0.7,0.675,1201,PGA
224,0.7,0.75,0.725,1201,PGA
225,0.75,0.8,0.775,1201,PGA
226,0.8,0.85,0.825,1201,PGA
227,0.85,0.9,0.875,1201,PGA
228,0.9,0.95,0.925,1201,PGA
229,0.95,1,0.975,1201,PGA
230,1,1.05,1.025,1201,PGA
231,1.05,1.1,1.075,1201,PGA
232,1.1,1.15,1.125,1201,PGA
233,1.15,1.2,1.175,1201,PGA
234,1.2,1.25,1.225,1201,PGA
235,1.25,1.3,1.275,1201,PGA
236,1.3,1.35,1.325,1201,PGA
237,1.35,1.4,1.375,1201,PGA
238,1.4,1.45,1.425,1201,PGA
239,1.45,1.5,1.475,1201,PGA
240,1.5,1.55,1.525,1201,PGA
241,1.55,1.6,1.575,1201,PGA
242,1.6,1.65,1.625,1201,PGA
243,1.65,1.7,1.675,1201,PGA
244,1.7,1.75,1.725,1201,PGA
245,1.75,1.8,1.775,1201,PGA
246,1.8,1.85,1.825,1201,PGA
247,1.85,1.9,1.875,1201,PGA
248,1.9,1.95,1.925,1201,PGA
249,1.95,2,1.975,1201,PGA
250,2,2.05,2.025,1201,PGA
251,2.05,2.1,2.075,1201,PGA
252,2.1,2.15,2.125,1201,PGA
253,2.15,2.2,2.175,1201,PGA
254,2.2,2.25,2.225,1201,PGA
255,2.25,2.3,2.275,1201,PGA
256,2.3,2.35,2.325,1201,PGA
257,2.35,2.4,2.375,1201,PGA
258,2.4,2.45,2.425,1201,PGA
259,2.45,2.5,2.475,1201,PGA
260,2.5,2.55,2.525,1201,PGA
261,2.55,2.6,2.575,1201,PGA
262,2.6,2.65,2.625,1201,PGA
263,2.65,2.7,2.675,1201,PGA
264,2.7,2.75,2.725,1201,PGA
265,2.75,2.8,2.775,1201,PGA
266,2.8,2.85,2.825,1201,PGA
267,2.85,2.9,2.875,1201,PGA
268,2.9,2.95,2.925,1201,PGA
269,2.95,3,2.975,1201,PGA
270,3,3.05,3.025,1201,PGA
271,3.05,3.1,3.075,1201,PGA
272,3.1,3.15,3.125,1201,PGA
273,3.15,3.2,3.175,1201,PGA
274,3.2,3.25,3.225,1201,PGA
275,3.25,3.3,3.275,1201,PGA
276,3.3,3.35,3.325,1201,PGA
277,3.35,3.4,3.375,1201,PGA
278,3.4,3.45,3.425,1201,PGA
279,3.45,3.5,3.475,1201,PGA
280,3.5,3.55,3.525,1201,PGA
281,3.55,3.6,3.575,1201,PGA
282,3.6,3.65,3.625,1201,PGA
283,3.65,3.7,3.675,1201,PGA
284,3.7,3.75,3.725,1201,PGA
285,3.75,3.8,3.775,1201,PGA
286,3.8,3.85,3.825,1201,PGA
287,3.85,3.9,3.875,1201,PGA
288,3.9,3.95,3.925,1201,PGA
289,3.95,4,3.975,1201,PGA
290,4,4.05,4.025,1201,PGA
291,4.05,4.1,4.075,1201,PGA
292,4.1,4.15,4.125,1201,PGA
293,4.15,4.2,4.175,1201,PGA
294,4.2,4.25,4.225,1201,PGA
295,4.25,4.3,4.275,1201,PGA
296,4.3,4.35,4.325,1201,PGA
297,4.35,4.4,4.375,1201,PGA
298,4.4,4.45,4.425,1201,PGA
299,4.45,4.5,4.475,1201,PGA
300,4.5,4.55,4.525,1201,PGA
301,4.55,4.6,4.575,1201,PGA
302,4.6,4.65,4.625,1201,PGA
303,4.65,4.7,4.675,1201,PGA
304,4.7,4.75,4.725,1201,PGA
305,4.75,4.8,4.775,1201,PGA
306,4.8,4.85,4.825,1201,PGA
307,4.85,4.9,4.875,1201,PGA
308,4.9,4.95,4.925,1201,PGA
309,4.95,5,4.975,1201,PGA
310,5,5.05,5.025,1201,PGA
311,5.05,5.1,5.075,1201,PGA
312,5.1,5.15,5.125,1201,PGA
313,5.15,5.2,5.175,1201,PGA
